transaction_id,customer_id,age,gender,location,loyalty_tier,category,product,price,quantity,total_amount,rating,review,sentiment,payment_method,timestamp,will_purchase_again
TXN013503,CUST01340,67,Other,Phoenix,Silver,Beauty,Perfume,38.41,3,115.23,4.0,Fantastic! This product changed my life. So glad I bought it.,Positive,Apple Pay,2023-02-23 00:00:00,1
TXN006006,CUST00901,34,Male,Dallas,Bronze,Home & Kitchen,Cookware,48.19,1,48.19,4.0,Absolutely love this product! Exceeded all my expectations.,Positive,Google Pay,2023-05-19 00:00:00,1
TXN003317,CUST00303,58,Female,Chicago,Bronze,Books,Fiction Novel,43.75,4,175.0,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Debit Card,2023-11-17 00:00:00,1
TXN005354,CUST00950,22,Other,San Jose,Gold,Automotive,Tire Inflator,46.36,3,139.08,5.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,Credit Card,2024-05-09 00:00:00,1
TXN012271,CUST00499,62,Other,Chicago,Bronze,Jewelry,Watch,444.38,5,2221.9,5.0,Excellent value for money. Works as described and ships quickly.,Positive,Debit Card,2023-07-14 00:00:00,1
TXN010437,CUST00386,66,Female,Dallas,Silver,Electronics,Headphones,590.39,5,2951.95,5.0,Superb quality. Will recommend to all my friends and family.,Positive,Credit Card,2023-10-14 00:00:00,1
TXN006928,CUST01428,54,Other,Phoenix,Bronze,Home & Kitchen,Lamp,54.75,1,54.75,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,PayPal,2023-08-22 00:00:00,1
TXN000543,CUST01910,34,Other,Chicago,Silver,Automotive,Car Cover,30.04,5,150.2,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Apple Pay,2022-10-16 00:00:00,1
TXN011401,CUST00552,66,Male,Philadelphia,Bronze,Home & Kitchen,Blender,68.77,4,275.08,5.0,Absolutely love this product! Exceeded all my expectations.,Positive,PayPal,2024-12-06 00:00:00,1
TXN007338,CUST00993,64,Male,New York,Bronze,Automotive,Dash Cam,117.18,1,117.18,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Google Pay,2024-10-08 00:00:00,1
TXN013683,CUST01729,54,Male,San Antonio,Silver,Electronics,Smartphone,631.31,5,3156.55,2.0,Do not buy this! It is a scam. Product quality is absolutely terrible.,Negative,Google Pay,2022-01-08 00:00:00,1
TXN007535,CUST01844,42,Female,Los Angeles,Platinum,Clothing,T-Shirt,56.59,5,282.95,4.0,Superb quality. Will recommend to all my friends and family.,Positive,Credit Card,2022-11-23 00:00:00,0
TXN005771,CUST00072,59,Female,Dallas,Silver,Beauty,Face Cream,29.94,5,149.7,3.0,Acceptable product. Some assembly required and instructions unclear.,Neutral,Debit Card,2023-09-14 00:00:00,1
TXN004013,CUST01882,41,Other,Dallas,Bronze,Jewelry,Silver Necklace,403.98,4,1615.92,5.0,Outstanding quality! The product is even better than the pictures.,Positive,Apple Pay,2023-09-05 00:00:00,1
TXN009368,CUST01409,64,Other,Chicago,Bronze,Automotive,Tire Inflator,77.82,4,311.28,4.0,Superb quality. Will recommend to all my friends and family.,Positive,Credit Card,2023-05-25 00:00:00,0
TXN005910,CUST00587,46,Male,New York,Silver,Clothing,T-Shirt,73.28,4,293.12,5.0,Superb quality. Will recommend to all my friends and family.,Positive,Apple Pay,2023-08-24 00:00:00,0
TXN008160,CUST00100,32,Other,Philadelphia,Bronze,Home & Kitchen,Cookware,161.35,2,322.7,1.0,Worst purchase I have made. Product arrived damaged and unusable.,Negative,Credit Card,2024-10-09 00:00:00,0
TXN002022,CUST01989,63,Other,Houston,Gold,Sports,Dumbbells,208.37,5,1041.85,2.0,Horrible experience! Customer service was useless and product failed.,Negative,PayPal,2023-12-29 00:00:00,1
TXN007840,CUST01874,63,Male,Philadelphia,Bronze,Home & Kitchen,Vacuum,120.57,2,241.14,3.0,Works most of the time. Quality seems okay for everyday use.,Neutral,Google Pay,2023-12-08 00:00:00,0
TXN009272,CUST01870,56,Male,Los Angeles,Bronze,Home & Kitchen,Blender,144.43,1,144.43,4.0,Absolutely love this product! Exceeded all my expectations.,Positive,Debit Card,2022-02-22 00:00:00,1
TXN002803,CUST01263,57,Female,New York,Platinum,Electronics,Tablet,722.96,1,722.96,4.0,Very happy with this purchase. Great customer service too.,Positive,Credit Card,2024-04-26 00:00:00,1
TXN000903,CUST00879,28,Male,Chicago,Bronze,Automotive,Floor Mats,90.09,4,360.36,5.0,,Positive,Debit Card,2022-06-01 00:00:00,1
TXN008028,CUST00765,33,Male,Phoenix,Silver,Automotive,Car Cover,68.49,5,342.45,3.0,Works most of the time. Quality seems okay for everyday use.,Neutral,Debit Card,2022-06-18 00:00:00,1
TXN013673,CUST00052,67,Male,San Antonio,Bronze,Automotive,Air Freshener,94.0,4,376.0,4.0,Very happy with this purchase. Great customer service too.,Positive,Credit Card,2024-05-19 00:00:00,1
TXN009382,CUST00545,22,Male,Phoenix,Silver,Toys,LEGO Set,77.54,3,232.62,2.0,Horrible experience! Customer service was useless and product failed.,Negative,Credit Card,2022-08-21 00:00:00,1
TXN005107,CUST00700,69,Female,San Antonio,Silver,Clothing,Jeans,149.08,4,596.32,5.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,Google Pay,2023-03-08 00:00:00,1
TXN010261,CUST00573,61,Male,San Jose,Silver,Grocery,Olive Oil,59.03,1,59.03,4.0,Fantastic! This product changed my life. So glad I bought it.,Positive,Credit Card,2022-11-26 00:00:00,0
TXN006673,CUST01984,32,Male,San Jose,Silver,Books,Self-Help,27.32,1,27.32,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,PayPal,2022-11-05 00:00:00,1
TXN005401,CUST00506,20,Male,Phoenix,Gold,Clothing,T-Shirt,92.62,4,370.48,4.0,Outstanding quality! The product is even better than the pictures.,Positive,PayPal,2023-05-18 00:00:00,1
TXN003782,CUST00650,64,Female,San Jose,Silver,Sports,Tennis Racket,227.79,4,911.16,4.0,Excellent value for money. Works as described and ships quickly.,Positive,Debit Card,2023-06-25 00:00:00,0
TXN006378,CUST00983,40,Male,San Antonio,Bronze,Home & Kitchen,Blender,96.6,1,96.6,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Apple Pay,2023-06-13 00:00:00,0
TXN013948,CUST01551,41,Female,San Jose,Bronze,Books,Cookbook,42.01,1,42.01,5.0,Superb quality. Will recommend to all my friends and family.,Positive,PayPal,2023-05-20 00:00:00,1
TXN009827,CUST00328,63,Male,San Jose,Silver,Automotive,Floor Mats,73.26,2,146.52,3.0,Acceptable product. Some assembly required and instructions unclear.,Neutral,Google Pay,2023-03-12 00:00:00,0
TXN014031,CUST01724,32,Male,Houston,Bronze,Clothing,T-Shirt,133.35,5,666.75,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Apple Pay,2023-11-25 00:00:00,1
TXN005633,CUST00523,29,Other,Phoenix,Gold,Home & Kitchen,Coffee Maker,159.35,2,318.7,2.0,Terrible product! Broke after just two days of use. Very disappointed.,Negative,Credit Card,2024-08-05 00:00:00,0
TXN009484,CUST00671,60,Male,Los Angeles,Bronze,Grocery,Protein Bar,30.77,4,123.08,3.0,Decent product for the price. Some minor issues though.,Neutral,Debit Card,2023-08-25 00:00:00,1
TXN004462,CUST01929,23,Male,Houston,Bronze,Electronics,Headphones,194.97,4,779.88,2.0,Terrible product! Broke after just two days of use. Very disappointed.,Negative,Debit Card,2022-01-10 00:00:00,0
TXN000020,CUST00752,58,Other,San Antonio,Bronze,Automotive,Dash Cam,121.76,1,121.76,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Google Pay,2023-12-06 00:00:00,0
TXN004005,CUST01107,20,Female,Los Angeles,Bronze,Automotive,Floor Mats,88.85,3,266.55,5.0,Outstanding quality! The product is even better than the pictures.,Positive,Credit Card,2023-06-16 00:00:00,1
TXN013679,CUST00296,18,Female,San Jose,Gold,Jewelry,Diamond Earrings,457.82,3,1373.46,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Apple Pay,2024-05-28 00:00:00,1
TXN011226,CUST01187,68,Male,Phoenix,Bronze,Beauty,Shampoo,85.92,2,171.84,4.0,,Positive,Google Pay,2024-05-23 00:00:00,1
TXN005130,CUST01113,40,Male,Philadelphia,Bronze,Jewelry,Diamond Earrings,295.21,5,1476.05,2.0,Terrible product! Broke after just two days of use. Very disappointed.,Negative,Credit Card,2024-03-22 00:00:00,0
TXN000737,CUST00711,56,Other,New York,Silver,Books,Cookbook,19.77,1,19.77,2.0,Horrible experience! Customer service was useless and product failed.,Negative,PayPal,2022-05-15 00:00:00,0
TXN003315,CUST01990,42,Female,Philadelphia,Bronze,Jewelry,Silver Necklace,221.35,3,664.05,4.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Apple Pay,2022-05-18 00:00:00,1
TXN009754,CUST00064,31,Female,Chicago,Silver,Home & Kitchen,Vacuum,63.17,5,315.85,4.0,"Five stars all the way! Perfect product, fast delivery.",Positive,Credit Card,2024-11-05 00:00:00,0
TXN013330,CUST01440,36,Male,Dallas,Gold,Clothing,T-Shirt,95.32,3,285.96,4.0,,Positive,Apple Pay,2024-09-03 00:00:00,1
TXN014881,CUST00240,43,Other,Los Angeles,Bronze,Electronics,Laptop,563.33,1,563.33,3.0,Decent product for the price. Some minor issues though.,Neutral,PayPal,2023-04-18 00:00:00,0
TXN004991,CUST00186,61,Female,Phoenix,Silver,Automotive,Car Cover,74.42,3,223.26,4.0,Excellent value for money. Works as described and ships quickly.,Positive,Debit Card,2022-09-01 00:00:00,1
TXN001214,CUST01656,61,Male,San Jose,Bronze,Books,Biography,28.24,3,84.72,1.0,Terrible product! Broke after just two days of use. Very disappointed.,Negative,PayPal,2024-12-25 00:00:00,1
TXN001714,CUST00268,36,Female,San Jose,Gold,Grocery,Protein Bar,57.27,2,114.54,4.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Apple Pay,2024-04-27 00:00:00,0
TXN002547,CUST00799,42,Male,Phoenix,Silver,Sports,Running Shoes,211.42,2,422.84,1.0,Waste of time and money. Product malfunctioned right out of the box.,Negative,PayPal,2022-11-14 00:00:00,0
TXN013191,CUST00598,28,Female,Philadelphia,Silver,Clothing,T-Shirt,64.41,2,128.82,2.0,Worst purchase I have made. Product arrived damaged and unusable.,Negative,Google Pay,2024-08-09 00:00:00,0
TXN012901,CUST00586,25,Female,New York,Bronze,Sports,Running Shoes,123.36,5,616.8,5.0,Superb quality. Will recommend to all my friends and family.,Positive,Google Pay,2022-04-05 00:00:00,1
